variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.1,Changing diagnostics,Changing sequencing,0.1%,0.1%,73,74.6164
Omicron BA.1,Changing diagnostics,Changing sequencing,0.1%,1%,62,62.2344
Omicron BA.1,Changing diagnostics,Changing sequencing,0.1%,10%,52,53.2344
Omicron BA.1,Changing diagnostics,Changing sequencing,0.1%,50%,50,50.9473
Omicron BA.1,Changing diagnostics,Changing sequencing,0.1%,100%,50,50.2539
Omicron BA.1,Changing diagnostics,Changing sequencing,0.1%,150%,50,49.8594
Omicron BA.1,Changing diagnostics,Changing sequencing,0.1%,200%,49,49.5391
Omicron BA.1,Changing diagnostics,Changing sequencing,1%,0.1%,73,74.6164
Omicron BA.1,Changing diagnostics,Changing sequencing,1%,1%,62,61.877
Omicron BA.1,Changing diagnostics,Changing sequencing,1%,10%,49,45.2109
Omicron BA.1,Changing diagnostics,Changing sequencing,1%,50%,18,22.8105
Omicron BA.1,Changing diagnostics,Changing sequencing,1%,100%,17,21.1602
Omicron BA.1,Changing diagnostics,Changing sequencing,1%,150%,17,21.0918
Omicron BA.1,Changing diagnostics,Changing sequencing,1%,200%,17,21.0781
Omicron BA.1,Changing diagnostics,Changing sequencing,10%,0.1%,73,74.6164
Omicron BA.1,Changing diagnostics,Changing sequencing,10%,1%,62,61.877
Omicron BA.1,Changing diagnostics,Changing sequencing,10%,10%,49,44.8535
Omicron BA.1,Changing diagnostics,Changing sequencing,10%,50%,16,18.0977
Omicron BA.1,Changing diagnostics,Changing sequencing,10%,100%,11,11.9434
Omicron BA.1,Changing diagnostics,Changing sequencing,10%,150%,6,7.8125
Omicron BA.1,Changing diagnostics,Changing sequencing,10%,200%,1,1.2852
Omicron BA.1,Changing diagnostics,Changing sequencing,50%,0.1%,73,74.6164
Omicron BA.1,Changing diagnostics,Changing sequencing,50%,1%,62,61.877
Omicron BA.1,Changing diagnostics,Changing sequencing,50%,10%,49,44.8535
Omicron BA.1,Changing diagnostics,Changing sequencing,50%,50%,16,18.0977
Omicron BA.1,Changing diagnostics,Changing sequencing,50%,100%,11,11.9434
Omicron BA.1,Changing diagnostics,Changing sequencing,50%,150%,6,7.8125
Omicron BA.1,Changing diagnostics,Changing sequencing,50%,200%,1,1.2852
Omicron BA.1,Changing diagnostics,Changing sequencing,100%,0.1%,73,74.6164
Omicron BA.1,Changing diagnostics,Changing sequencing,100%,1%,62,61.877
Omicron BA.1,Changing diagnostics,Changing sequencing,100%,10%,49,44.8535
Omicron BA.1,Changing diagnostics,Changing sequencing,100%,50%,16,18.0977
Omicron BA.1,Changing diagnostics,Changing sequencing,100%,100%,11,11.9434
Omicron BA.1,Changing diagnostics,Changing sequencing,100%,150%,6,7.8125
Omicron BA.1,Changing diagnostics,Changing sequencing,100%,200%,1,1.2852
Omicron BA.1,Changing diagnostics,Changing sequencing,150%,0.1%,73,74.6164
Omicron BA.1,Changing diagnostics,Changing sequencing,150%,1%,62,61.877
Omicron BA.1,Changing diagnostics,Changing sequencing,150%,10%,49,44.8535
Omicron BA.1,Changing diagnostics,Changing sequencing,150%,50%,16,18.0977
Omicron BA.1,Changing diagnostics,Changing sequencing,150%,100%,11,11.9434
Omicron BA.1,Changing diagnostics,Changing sequencing,150%,150%,6,7.8125
Omicron BA.1,Changing diagnostics,Changing sequencing,150%,200%,1,1.2852
Omicron BA.1,Changing diagnostics,Changing sequencing,200%,0.1%,73,74.6164
Omicron BA.1,Changing diagnostics,Changing sequencing,200%,1%,62,61.877
Omicron BA.1,Changing diagnostics,Changing sequencing,200%,10%,49,44.8535
Omicron BA.1,Changing diagnostics,Changing sequencing,200%,50%,16,18.0977
Omicron BA.1,Changing diagnostics,Changing sequencing,200%,100%,11,11.9434
Omicron BA.1,Changing diagnostics,Changing sequencing,200%,150%,6,7.8125
Omicron BA.1,Changing diagnostics,Changing sequencing,200%,200%,1,1.2852
