variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.2,Traveler weight (all regions),Changing sequencing,0.1%,0.1%,63,71.6195
Omicron BA.2,Traveler weight (all regions),Changing sequencing,0.1%,1%,49,50.3867
Omicron BA.2,Traveler weight (all regions),Changing sequencing,0.1%,10%,30,30.459
Omicron BA.2,Traveler weight (all regions),Changing sequencing,0.1%,50%,21,21.7656
Omicron BA.2,Traveler weight (all regions),Changing sequencing,0.1%,100%,18,18.6426
Omicron BA.2,Traveler weight (all regions),Changing sequencing,0.1%,150%,17,16.7949
Omicron BA.2,Traveler weight (all regions),Changing sequencing,0.1%,200%,15,15.5625
Omicron BA.2,Traveler weight (all regions),Changing sequencing,1%,0.1%,64,71.7479
Omicron BA.2,Traveler weight (all regions),Changing sequencing,1%,1%,49,50.4824
Omicron BA.2,Traveler weight (all regions),Changing sequencing,1%,10%,30,30.5098
Omicron BA.2,Traveler weight (all regions),Changing sequencing,1%,50%,21,21.7949
Omicron BA.2,Traveler weight (all regions),Changing sequencing,1%,100%,18,18.6973
Omicron BA.2,Traveler weight (all regions),Changing sequencing,1%,150%,17,16.8281
Omicron BA.2,Traveler weight (all regions),Changing sequencing,1%,200%,15,15.5938
Omicron BA.2,Traveler weight (all regions),Changing sequencing,10%,0.1%,64,72.0405
Omicron BA.2,Traveler weight (all regions),Changing sequencing,10%,1%,50,51.5215
Omicron BA.2,Traveler weight (all regions),Changing sequencing,10%,10%,30,31.1914
Omicron BA.2,Traveler weight (all regions),Changing sequencing,10%,50%,23,22.1816
Omicron BA.2,Traveler weight (all regions),Changing sequencing,10%,100%,19,19.1035
Omicron BA.2,Traveler weight (all regions),Changing sequencing,10%,150%,17,16.9766
Omicron BA.2,Traveler weight (all regions),Changing sequencing,10%,200%,15,15.4512
Omicron BA.2,Traveler weight (all regions),Changing sequencing,30%,0.1%,65,72.4282
Omicron BA.2,Traveler weight (all regions),Changing sequencing,30%,1%,53,53.8848
Omicron BA.2,Traveler weight (all regions),Changing sequencing,30%,10%,32,32.8672
Omicron BA.2,Traveler weight (all regions),Changing sequencing,30%,50%,21,21.832
Omicron BA.2,Traveler weight (all regions),Changing sequencing,30%,100%,15,16.125
Omicron BA.2,Traveler weight (all regions),Changing sequencing,30%,150%,14,13.248
Omicron BA.2,Traveler weight (all regions),Changing sequencing,30%,200%,10,11.0039
Omicron BA.2,Traveler weight (all regions),Changing sequencing,50%,0.1%,67,72.0539
Omicron BA.2,Traveler weight (all regions),Changing sequencing,50%,1%,54,54.9629
Omicron BA.2,Traveler weight (all regions),Changing sequencing,50%,10%,31,33.1191
Omicron BA.2,Traveler weight (all regions),Changing sequencing,50%,50%,18,18.1055
Omicron BA.2,Traveler weight (all regions),Changing sequencing,50%,100%,13,12.7305
Omicron BA.2,Traveler weight (all regions),Changing sequencing,50%,150%,9,10.1152
Omicron BA.2,Traveler weight (all regions),Changing sequencing,50%,200%,9,9.6875
Omicron BA.2,Traveler weight (all regions),Changing sequencing,70%,0.1%,72,73.4976
Omicron BA.2,Traveler weight (all regions),Changing sequencing,70%,1%,54,55.1465
Omicron BA.2,Traveler weight (all regions),Changing sequencing,70%,10%,31,31.6641
Omicron BA.2,Traveler weight (all regions),Changing sequencing,70%,50%,15,15.5312
Omicron BA.2,Traveler weight (all regions),Changing sequencing,70%,100%,9,10.3164
Omicron BA.2,Traveler weight (all regions),Changing sequencing,70%,150%,9,9.6934
Omicron BA.2,Traveler weight (all regions),Changing sequencing,70%,200%,9,9.6016
Omicron BA.2,Traveler weight (all regions),Changing sequencing,90%,0.1%,72,74.3138
Omicron BA.2,Traveler weight (all regions),Changing sequencing,90%,1%,54,54.3711
Omicron BA.2,Traveler weight (all regions),Changing sequencing,90%,10%,27,29.5566
Omicron BA.2,Traveler weight (all regions),Changing sequencing,90%,50%,14,13.584
Omicron BA.2,Traveler weight (all regions),Changing sequencing,90%,100%,9,9.8027
Omicron BA.2,Traveler weight (all regions),Changing sequencing,90%,150%,9,9.6016
Omicron BA.2,Traveler weight (all regions),Changing sequencing,90%,200%,9,9.4746
Omicron BA.2,Traveler weight (all regions),Changing sequencing,100%,0.1%,71,74.0175
Omicron BA.2,Traveler weight (all regions),Changing sequencing,100%,1%,54,53.4805
Omicron BA.2,Traveler weight (all regions),Changing sequencing,100%,10%,27,28.498
Omicron BA.2,Traveler weight (all regions),Changing sequencing,100%,50%,13,12.7578
Omicron BA.2,Traveler weight (all regions),Changing sequencing,100%,100%,9,9.6934
Omicron BA.2,Traveler weight (all regions),Changing sequencing,100%,150%,9,9.5488
Omicron BA.2,Traveler weight (all regions),Changing sequencing,100%,200%,8.5,9.4355
