variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-H,14,13.6484
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3a-H,14,13.7109
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-H,14,13.7129
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7a-H,14,13.7129
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-H,16,15.5215
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11a-H,16,15.5449
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3-M,15.5,15.6367
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P3a-M,15.5,15.6406
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7-M,16,15.7773
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P7a-M,16,15.7773
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11-M,16,15.8047
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),0.1%,P11a-M,16,15.8047
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P3-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P3a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P7-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P7a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P11-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P11a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P3-H,14,13.6484
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P3a-H,14,13.7109
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P7-H,14,13.7129
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P7a-H,14,13.7129
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P11-H,16,15.5293
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P11a-H,16,15.5469
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P3-M,15.5,15.6367
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P3a-M,15.5,15.6406
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P7-M,16,15.7773
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P7a-M,16,15.7773
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P11-M,16,15.8047
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),1%,P11a-M,16,15.8047
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P3-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P3a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P7-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P7a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P11-R,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P11a-R,11,11.9082
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P3-H,14,13.6484
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P3a-H,14,13.7109
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P7-H,14,13.7129
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P7a-H,14,13.7129
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P11-H,16,15.4844
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P11a-H,16,15.5039
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P3-M,15.5,15.6406
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P3a-M,15.5,15.6406
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P7-M,16,15.7715
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P7a-M,16,15.7715
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P11-M,16,15.4922
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),10%,P11a-M,16,15.4922
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P3-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P3a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P7-R,11,11.5684
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P7a-R,11,11.5684
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P11-R,11,11.5332
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P11a-R,11,11.5332
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P3-H,14,13.5996
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P3a-H,14,13.6973
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P7-H,14,13.123
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P7a-H,14,13.127
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P11-H,14,13.3652
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P11a-H,14.5,13.4238
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P3-M,15,15.4805
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P3a-M,15,15.5059
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P7-M,15,14.6973
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P7a-M,15,14.7305
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P11-M,15,14.5566
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),30%,P11a-M,15,14.5664
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P3-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P3a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P7-R,10,11.2832
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P7a-R,10,11.2832
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P11-R,10,11.2598
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P11a-R,10,11.2598
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P3-H,14,13.541
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P3a-H,14,13.6191
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P7-H,12,12.5098
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P7a-H,12,12.5215
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P11-H,12,12.5176
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P11a-H,12,12.541
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P3-M,15,15.4746
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P3a-M,15,15.4746
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P7-M,12,13.6875
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P7a-M,12,13.7109
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P11-M,11,13.3438
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),50%,P11a-M,11,13.3516
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P3-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P3a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P7-R,10,11.1953
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P7a-R,10,11.1953
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P11-R,10,11.1719
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P11a-R,10,11.1719
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P3-H,14,13.5195
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P3a-H,14,13.5391
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P7-H,12,12.2969
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P7a-H,12,12.332
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P11-H,11,12.0801
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P11a-H,11,12.1055
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P3-M,15,15.457
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P3a-M,15,15.4746
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P7-M,12,13.1914
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P7a-M,12,13.2715
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P11-M,11,12.7422
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),70%,P11a-M,11,12.7637
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P3-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P3a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P7-R,10,11.166
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P7a-R,10,11.166
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P11-R,10,11.127
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P11a-R,10,11.127
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P3-H,14,13.5195
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P3a-H,14,13.5195
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P7-H,12,12.1953
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P7a-H,12,12.1953
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P11-H,11,11.8477
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P11a-H,11,11.8477
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P3-M,15,15.457
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P3a-M,15,15.457
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P7-M,11,12.9648
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P7a-M,11,12.9766
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P11-M,11,12.4688
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),90%,P11a-M,11,12.4863
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P3-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P3a-R,11,11.9434
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P7-R,10,11.1367
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P7a-R,10,11.1367
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P11-R,10,11.0977
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P11a-R,10,11.0977
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P3-H,14,13.5195
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P3a-H,14,13.5195
Omicron BA.1,Traveler weight (travel hubs),Strategies (per capita),100%,P7-H,12,12.125
