variant,params_1,params_2,parval_1,parval_2,lag_median,lag_mean
Omicron BA.1,Traveler weight,Travel hubs,0,3,15,15.6436
Omicron BA.1,Traveler weight,Travel hubs,0,5,32,32.0176
Omicron BA.1,Traveler weight,Travel hubs,0,7,31,31.0459
Omicron BA.1,Traveler weight,Travel hubs,0,9,32,31.6094
Omicron BA.1,Traveler weight,Travel hubs,0,11,33,33.6777
Omicron BA.1,Traveler weight,Travel hubs,0,13,33,33.749
Omicron BA.1,Traveler weight,Travel hubs,0,15,33,33.7539
Omicron BA.1,Traveler weight,Travel hubs,0,17,33,33.8174
Omicron BA.1,Traveler weight,Travel hubs,0,Max,11,12.0547
Omicron BA.1,Traveler weight,Travel hubs,0.001,3,15,15.6436
Omicron BA.1,Traveler weight,Travel hubs,0.001,5,32,32.0264
Omicron BA.1,Traveler weight,Travel hubs,0.001,7,31,31.0479
Omicron BA.1,Traveler weight,Travel hubs,0.001,9,32,31.6279
Omicron BA.1,Traveler weight,Travel hubs,0.001,11,33,33.6797
Omicron BA.1,Traveler weight,Travel hubs,0.001,13,33,33.749
Omicron BA.1,Traveler weight,Travel hubs,0.001,15,33,33.7578
Omicron BA.1,Traveler weight,Travel hubs,0.001,17,33,33.8174
Omicron BA.1,Traveler weight,Travel hubs,0.001,Max,11,12.0625
Omicron BA.1,Traveler weight,Travel hubs,0.01,3,15,15.6494
Omicron BA.1,Traveler weight,Travel hubs,0.01,5,32,32.0645
Omicron BA.1,Traveler weight,Travel hubs,0.01,7,31,31.0693
Omicron BA.1,Traveler weight,Travel hubs,0.01,9,32,31.6602
Omicron BA.1,Traveler weight,Travel hubs,0.01,11,33,33.6826
Omicron BA.1,Traveler weight,Travel hubs,0.01,13,33,33.7402
Omicron BA.1,Traveler weight,Travel hubs,0.01,15,33,33.7412
Omicron BA.1,Traveler weight,Travel hubs,0.01,17,33,33.8164
Omicron BA.1,Traveler weight,Travel hubs,0.01,Max,12,12.1602
Omicron BA.1,Traveler weight,Travel hubs,0.1,3,15,15.6494
Omicron BA.1,Traveler weight,Travel hubs,0.1,5,32,31.0137
Omicron BA.1,Traveler weight,Travel hubs,0.1,7,31,30.3584
Omicron BA.1,Traveler weight,Travel hubs,0.1,9,29,29.126
Omicron BA.1,Traveler weight,Travel hubs,0.1,11,28,28.0049
Omicron BA.1,Traveler weight,Travel hubs,0.1,13,28,28.0801
Omicron BA.1,Traveler weight,Travel hubs,0.1,15,28,28.0859
Omicron BA.1,Traveler weight,Travel hubs,0.1,17,28,28.1846
Omicron BA.1,Traveler weight,Travel hubs,0.1,Max,14,12.8252
Omicron BA.1,Traveler weight,Travel hubs,0.3,3,15,15.3145
Omicron BA.1,Traveler weight,Travel hubs,0.3,5,22,22.9102
Omicron BA.1,Traveler weight,Travel hubs,0.3,7,25,23.3477
Omicron BA.1,Traveler weight,Travel hubs,0.3,9,16,17.3457
Omicron BA.1,Traveler weight,Travel hubs,0.3,11,22,21.8281
Omicron BA.1,Traveler weight,Travel hubs,0.3,13,22,21.9766
Omicron BA.1,Traveler weight,Travel hubs,0.3,15,22,21.9766
Omicron BA.1,Traveler weight,Travel hubs,0.3,17,22,22.1484
Omicron BA.1,Traveler weight,Travel hubs,0.3,Max,14,13.9336
Omicron BA.1,Traveler weight,Travel hubs,0.5,3,15,15.332
Omicron BA.1,Traveler weight,Travel hubs,0.5,5,18,19.9824
Omicron BA.1,Traveler weight,Travel hubs,0.5,7,18,19.8418
Omicron BA.1,Traveler weight,Travel hubs,0.5,9,13,14.0098
Omicron BA.1,Traveler weight,Travel hubs,0.5,11,16,16.1328
Omicron BA.1,Traveler weight,Travel hubs,0.5,13,16,16.3145
Omicron BA.1,Traveler weight,Travel hubs,0.5,15,16,16.3359
Omicron BA.1,Traveler weight,Travel hubs,0.5,17,16,16.5781
Omicron BA.1,Traveler weight,Travel hubs,0.5,Max,15,13.8086
Omicron BA.1,Traveler weight,Travel hubs,0.7,3,15,15.332
Omicron BA.1,Traveler weight,Travel hubs,0.7,5,17,18.4141
Omicron BA.1,Traveler weight,Travel hubs,0.7,7,16.5,17.9199
Omicron BA.1,Traveler weight,Travel hubs,0.7,9,11,12.6719
Omicron BA.1,Traveler weight,Travel hubs,0.7,11,13,14.2559
Omicron BA.1,Traveler weight,Travel hubs,0.7,13,14,14.3398
Omicron BA.1,Traveler weight,Travel hubs,0.7,15,14,14.3438
Omicron BA.1,Traveler weight,Travel hubs,0.7,17,14,14.4941
Omicron BA.1,Traveler weight,Travel hubs,0.7,Max,14,13.7031
Omicron BA.1,Traveler weight,Travel hubs,0.9,3,15,15.6465
Omicron BA.1,Traveler weight,Travel hubs,0.9,5,17,17.7998
Omicron BA.1,Traveler weight,Travel hubs,0.9,7,16,16.835
Omicron BA.1,Traveler weight,Travel hubs,0.9,9,11,12.2988
Omicron BA.1,Traveler weight,Travel hubs,0.9,11,11,12.8672
Omicron BA.1,Traveler weight,Travel hubs,0.9,13,11,12.9004
Omicron BA.1,Traveler weight,Travel hubs,0.9,15,11,12.916
Omicron BA.1,Traveler weight,Travel hubs,0.9,17,12,13.0264
Omicron BA.1,Traveler weight,Travel hubs,0.9,Max,12,12.9473
Omicron BA.1,Traveler weight,Travel hubs,0.99,3,15,15.6201
Omicron BA.1,Traveler weight,Travel hubs,0.99,5,16,17.6113
Omicron BA.1,Traveler weight,Travel hubs,0.99,7,16,16.4541
Omicron BA.1,Traveler weight,Travel hubs,0.99,9,11,12.207
Omicron BA.1,Traveler weight,Travel hubs,0.99,11,11,12.5352
Omicron BA.1,Traveler weight,Travel hubs,0.99,13,11,12.5713
Omicron BA.1,Traveler weight,Travel hubs,0.99,15,11,12.584
