profile_para,mle,CI_low,CI_high,delta,se_stat,se_mc,se
eta_two,0.8065565565565566,0.7624124124124124,0.8497197197197197,9039.175544990047,3.234467965514526e-4,0.022186460603826497,0.0221888181739214
eta_three,0.47988988988988984,0.44457457457457455,0.5201101101101101,12714.492720204957,2.2227554011948345e-4,0.018083200337017737,0.01808456637147968
eta_four,0.23072072072072072,0.21306306306306305,0.24053053053053053,793.695730621035,3.9277022201584773e-4,0.007974553092718092,0.007984219778781273
epsilon_four,0.01,-Inf,Inf,-11466.876239499166,NA,0.02626273597152845,0.02626053671202054
lambda_one,0.834024024024024,0.7879179179179179,0.8771871871871871,10255.72367546541,2.870850265661747e-4,0.020975867549039646,0.020977832043548566
lambda_two,0.6319419419419419,0.6152652652652653,0.6466566566566566,2510.4426586985087,2.630096763664549e-4,0.009504900713442765,0.009508538881566777
lambda_three,0.01,-Inf,Inf,-144129.21379043945,NA,0.1559194418861322,0.15591840297092344
lambda_four,0.01,-Inf,Inf,-7980.844189916977,NA,0.020213155319806945,0.0202107234344935
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
iota_three,0.43868868868868865,0.30625625625625624,0.99,64134.62569820194,3.846369208316679e-4,0.07028419176801476,0.0702852442411915
iota_four,0.8771871871871871,0.8016516516516516,0.9615515515515515,21788.0130433584,3.1929132462816016e-4,0.03400507172278613,0.03400657068599849
gamma,0.3091991991991992,0.2895795795795796,0.32685685685685684,2576.316815154695,3.0286276485465844e-4,0.011087929930058351,0.011092065451854274
sigma,0.99,-Inf,Inf,-22818.35549571952,NA,0.05683559867338413,0.05683320676318102
tau_cases,0.99,0.9183883883883883,0.99,15512.083053326258,0.0014371591965729863,0.1291457018010362,0.12915369805095966
tau_deaths,0.99,0.6839339339339339,0.99,83681.97021706324,0.0019611316363041145,0.4093404066087764,0.4093451044289321
tau_seq_all,0.99,0.9595895895895895,0.99,17397.26549892511,0.0012531069286835772,0.11925361652493367,0.11926020011408102
tau_seq_unit,0.99,0.673143143143143,0.99,2825.8121931154205,0.007336924776516439,0.28132282734498093,0.2814184849126834
day_BA_one,0.04041041041041041,0.01,0.3759059059059059,195707.67144222595,5.587160479700126e-4,0.1783445516025178,0.17834542677042603
day_BA_two,0.7996896896896897,0.7732032032032031,0.8261761761761761,4913.92293783559,2.526356109432003e-4,0.012775877860034623,0.012778375477596497
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
